latest_date,exit_ma,slope_lb,exit_signal_today,qqq_vs_ma,ma_slope
2026-08-31,90,10,False,0.009115360945358253,0.012500686364599112
2026-08-31,90,20,False,0.009115360945358253,0.03567012277382986
2026-08-31,90,30,False,0.009115360945358253,0.05155901718961298
2026-08-31,90,50,False,0.009115360945358253,0.09071875131121487
2026-08-31,100,10,False,0.01990526770940404,0.019116666965389717
2026-08-31,100,20,False,0.01990526770940404,0.0384837495270991
2026-08-31,100,30,False,0.01990526770940404,0.05091579307589433
2026-08-31,100,50,False,0.01990526770940404,0.08457388391704912
2026-08-31,110,10,False,0.036059074351186826,0.015910921298248892
2026-08-31,110,20,False,0.036059074351186826,0.03180586488737691
2026-08-31,110,30,False,0.036059074351186826,0.04344362766284071
2026-08-31,110,50,False,0.036059074351186826,0.07168208109635232
2026-08-31,120,10,False,0.04829906881816082,0.013085310782273707
2026-08-31,120,20,False,0.04829906881816082,0.028012533568789966
2026-08-31,120,30,False,0.04829906881816082,0.03702014152576072
2026-08-31,120,50,False,0.04829906881816082,0.06257191474746038
2026-08-31,130,10,False,0.05729708716912829,0.012427727929416488
2026-08-31,130,20,False,0.05729708716912829,0.02474928615616223
2026-08-31,130,30,False,0.05729708716912829,0.032783592915506476
2026-08-31,130,50,False,0.05729708716912829,0.05711557005264534
