leverage,annual_drag,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount
2.8,0.008,0.3147537120457744,-0.5804007047324977,0.542304152078592,1725.5569358504665,750,-0.1942472840881212,-0.35614496318145306,-0.14743608809717723,-0.535643842464505,1.1938242172670095,-0.14723087963306458,-0.32513122628410673,-0.5614916416879034,344.38251077044606,-0.5804007047324977,0.4309722687677704,-0.5804007047324977,15
2.8,0.015,0.3127085501164997,-0.5804007047324976,0.5387804452453667,1653.92109894213,750,-0.19628205569824253,-0.35741347131898416,-0.15090421851257274,-0.5365053046997179,1.1938242172670082,-0.14723087963306436,-0.3251312262841073,-0.5614916416879037,344.38251077044544,-0.5804007047324976,0.4309722687677702,-0.5804007047324976,15
2.8,0.025,0.3097923293580407,-0.5804007047324976,0.5337559496948262,1556.7097410048864,750,-0.19917977551846366,-0.3592211580300587,-0.15583434673397922,-0.5377332354361712,1.1938242172670086,-0.14723087963306447,-0.32513122628410585,-0.5614916416879028,344.38251077044646,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,15
2.8,0.04,0.30542996868980476,-0.5804007047324976,0.5262398308606038,1421.495097522987,750,-0.2035063693476128,-0.3619228641995679,-0.16317616878557006,-0.5395691268604087,1.1938242172670073,-0.14723087963306447,-0.3251312262841073,-0.5614916416879037,344.38251077044555,-0.5804007047324976,0.4309722687677702,-0.5804007047324976,15
3.0,0.008,0.3162973809615477,-0.5804007047324976,0.5449638127288746,1781.5968211357426,750,-0.21957779591981286,-0.38091429538077337,-0.166793214119496,-0.5632799411939119,1.1938242172670082,-0.14723087963306447,-0.32513122628410673,-0.5614916416879034,344.38251077044515,-0.5804007047324976,0.4309722687677702,-0.5804007047324976,15
3.0,0.015,0.3142499132439913,-0.5804007047324977,0.5414361331432682,1707.6378881383396,750,-0.22154539274935192,-0.3821317693798908,-0.17018438062871077,-0.5640910247917374,1.19382421726701,-0.14723087963306436,-0.32513122628410673,-0.5614916416879034,344.38251077044606,-0.5804007047324977,0.4309722687677704,-0.5804007047324977,15
3.0,0.025,0.31133040427165803,-0.5804007047324976,0.5364059721725319,1607.2737953827536,750,-0.22434746398085303,-0.38386673833292717,-0.17500508816069493,-0.5652471428615486,1.1938242172670108,-0.14723087963306436,-0.3251312262841065,-0.5614916416879032,344.3825107704469,-0.5804007047324976,0.4309722687677706,-0.5804007047324976,15
3.0,0.04,0.30696312398209336,-0.5804007047324976,0.5288813770885589,1467.6734064546354,750,-0.22853127770113324,-0.38645978152666416,-0.18218393635815633,-0.5669756602713044,1.1938242172670064,-0.14723087963306447,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,15
3.2,0.008,0.31742411454944275,-0.5896190444891231,0.5383545825329907,1823.6032346695101,750,-0.24505997863885998,-0.4052456196349097,-0.18685774400654165,-0.5896190444891231,1.1938242172670082,-0.14723087963306436,-0.3251312262841065,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,15
3.2,0.015,0.315374972141822,-0.5903820683029266,0.5341879251996561,1747.903321111301,750,-0.24696020085349846,-0.406413075091685,-0.19016903481645075,-0.5903820683029266,1.1938242172670082,-0.14723087963306447,-0.3251312262841064,-0.5614916416879032,344.382510770446,-0.5804007047324975,0.4309722687677704,-0.5804007047324975,15
3.2,0.025,0.31245307488675333,-0.5914696792765058,0.5282655828933621,1645.1764704164113,750,-0.2496663380569305,-0.4080767729939099,-0.1948761826268759,-0.5914696792765058,1.1938242172670086,-0.14723087963306447,-0.32513122628410684,-0.5614916416879034,344.38251077044595,-0.5804007047324977,0.4309722687677704,-0.5804007047324977,15
3.2,0.04,0.3080822212680443,-0.5930957654569697,0.5194476831758736,1502.2892110723467,750,-0.25370694360098345,-0.41056331416399383,-0.20188589374005095,-0.5930957654569697,1.1938242172670082,-0.14723087963306447,-0.3251312262841064,-0.5614916416879032,344.3825107704464,-0.5804007047324975,0.4309722687677704,-0.5804007047324975,15
